2018-11-06 16:53:05.543| on thread[140447603222272 c10s13]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 13)| sqream| Connection id - 10 -0MB - copy amit from '/home/amitn/csv.csv';
2018-11-06 16:53:05.617| on thread[140447603222272 c10s13]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 13) | sqream|  Connection id - 10
2018-11-06 16:53:05.617| on thread[140447603222272 c10s13]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 13) | sqream|  End Time - 2018-11-06 16:53:05
2018-11-06 16:53:05.617| on thread[140447603222272 c10s13]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 13) | sqream|  SQL - copy amit from '/home/amitn/csv.csv';
2018-11-06 16:53:05.617| on thread[140447603222272 c10s13]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 13) | sqream|  ResultSet Num Of Rows - 12
2018-11-06 16:53:05.617| on thread[140447603222272 c10s13]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 13) | sqream|  Processed Num Of Rows - 38
2018-11-06 16:53:05.617| on thread[140447603222272 c10s13]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 13) | sqream|  Success
2018-11-06 16:53:18.711| on thread[140447603222272 c10s13]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 14) | sqream|  Connection id - 10
2018-11-06 16:53:18.711| on thread[140447603222272 c10s13]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 14) | sqream|  Start Time - 2018-11-06 16:53:18
2018-11-06 16:53:18.711| on thread[140447603222272 c10s13]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 14) | sqream|  Statement select * from amit;
2018-11-06 16:53:18.809| on thread[140447603222272 c10s14]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 14)| sqream|  Connection id - 10 - Executing - select * from amit;
2018-11-06 16:53:18.958| on thread[140447603222272 c10s14]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 14) | sqream|  Connection id - 10
2018-11-06 16:53:18.958| on thread[140447603222272 c10s14]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 14) | sqream|  End Time - 2018-11-06 16:53:18
